Latitude,Longitude,Time
39.963067,116.351019,2025-06-29 21:56:11+00:00
39.963074,116.35106,2025-06-29 21:57:41+00:00
39.963218,116.350278,2025-06-29 22:01:11+00:00
39.963256,116.349748,2025-06-29 22:10:41+00:00
39.96335,116.349162,2025-06-29 22:11:41+00:00
39.963275,116.349689,2025-06-29 22:22:41+00:00
39.963107,116.349099,2025-06-29 22:45:11+00:00
39.96317,116.349598,2025-06-29 22:45:41+00:00
39.963209,116.350244,2025-06-29 22:46:41+00:00
39.963192,116.349585,2025-06-29 22:48:11+00:00
39.963106,116.349123,2025-06-29 22:54:41+00:00
39.963143,116.349662,2025-06-29 22:55:41+00:00
39.963196,116.350125,2025-06-29 23:04:11+00:00
39.963158,116.349481,2025-06-29 23:09:41+00:00
39.963194,116.349794,2025-06-29 23:33:11+00:00
39.963342,116.349887,2025-06-29 23:38:11+00:00
39.963319,116.35044,2025-06-29 23:42:11+00:00
39.963193,116.349966,2025-06-29 23:49:11+00:00
39.963241,116.349404,2025-06-29 23:50:11+00:00
39.963151,116.349883,2025-06-29 23:53:11+00:00
39.963302,116.348984,2025-06-29 23:58:41+00:00
39.963432,116.349899,2025-06-30 00:00:11+00:00
39.963272,116.349179,2025-06-30 00:02:11+00:00
39.963185,116.349687,2025-06-30 00:08:11+00:00
39.963252,116.349114,2025-06-30 00:09:41+00:00
39.963228,116.349753,2025-06-30 00:17:11+00:00
39.963192,116.349252,2025-06-30 00:21:11+00:00
39.96313,116.349862,2025-06-30 00:31:23+00:00
39.963144,116.349237,2025-06-30 00:36:52+00:00
39.963081,116.34983,2025-06-30 00:37:22+00:00
39.963399,116.349231,2025-06-30 00:51:51+00:00
39.963263,116.349709,2025-06-30 00:56:51+00:00
39.963276,116.349218,2025-06-30 01:05:51+00:00
39.963298,116.350399,2025-06-30 01:18:52+00:00
39.963124,116.349107,2025-06-30 01:19:40+00:00
39.96297,116.349676,2025-06-30 01:20:10+00:00
39.963195,116.350363,2025-06-30 01:20:40+00:00
39.963182,116.350461,2025-06-30 01:21:10+00:00
39.96303,116.350838,2025-06-30 01:21:40+00:00
39.962153,116.350969,2025-06-30 01:22:10+00:00
39.961007,116.351026,2025-06-30 01:22:40+00:00
39.960346,116.350602,2025-06-30 01:23:10+00:00
39.960424,116.349925,2025-06-30 01:25:23+00:00
39.960402,116.349944,2025-06-30 01:25:43+00:00
39.961438,116.349603,2025-06-30 02:57:26+00:00
39.961259,116.35017,2025-06-30 02:58:56+00:00
39.960604,116.349716,2025-06-30 03:01:20+00:00
39.960418,116.351111,2025-06-30 03:43:20+00:00
39.960927,116.352414,2025-06-30 03:43:52+00:00
39.961698,116.35291,2025-06-30 03:44:25+00:00
39.962541,116.351957,2025-06-30 03:49:03+00:00
39.962703,116.351035,2025-06-30 03:49:33+00:00
39.963168,116.350253,2025-06-30 03:50:52+00:00
39.961924,116.352501,2025-06-30 03:51:45+00:00
39.963206,116.350086,2025-06-30 03:52:47+00:00
39.963231,116.349997,2025-06-30 03:54:07+00:00
39.963052,116.349194,2025-06-30 07:12:56+00:00
39.963246,116.350572,2025-06-30 07:13:39+00:00
39.963258,116.35056,2025-06-30 07:14:21+00:00
39.962748,116.350099,2025-06-30 07:15:01+00:00
39.962128,116.350949,2025-06-30 07:15:31+00:00
39.960774,116.351042,2025-06-30 07:16:04+00:00
39.960413,116.350321,2025-06-30 07:16:37+00:00
39.960238,116.349859,2025-06-30 07:21:52+00:00
39.960828,116.35108,2025-06-30 09:18:41+00:00
